286,SIYSIL,INE076B01028,531.35,20
287,GOLDSHARE,INF789F1AUX7,53.3,20
288,TERASOFT,INE482B01010,63.4,100
289,VINEETLAB,INE505Y01010,73.35,100
290,GRINDWELL,INE536A01023,2368.55,20
291,SHREECEM,INE070A01015,28556.25,20
292,ITIETF,INF109KC16I6,38.75,20
293,PHARMABEES,INF204KC1089,18.23,20
294,LGBFORGE,INE201J01017,12.7,21.54
295,NEOGEN,INE136S01016,1463.55,20
296,CLEAN,INE227W01023,1493.55,20
297,GRSE,INE382Z01011,930.95,20.27
298,TVSELECT,INE236G01019,353.6,20
299,SUKHJITS,INE450E01011,538.5,20
300,SPECIALITY,INE247M01014,254.95,20
301,JINDALPHOT,INE796G01012,598,26.16
302,GANGESSECU,INE335W01016,129.15,20
303,ROLEXRINGS,INE645S01016,2399,20
304,WENDT,INE274C01019,13070.25,20
305,UNIVPHOTO,INE03V001013,431.1,20.04
306,FLAIR,INE00Y201027,329.35,20
307,HCLTECH,INE860A01027,1576,9.14
308,JUBLPHARMA,INE700A01033,571.45,20
309,TIMKEN,INE325A01013,3387.7,20
310,SGBMAR28X,IN0020190552,6246.15,10
311,SGBSEP31II,IN0020230093,6302.44,10
312,ASPINWALL,INE991I01015,304.45,20.94
313,IIFL,INE530B01024,623.45,20
314,AYMSYNTEX,INE193B01039,81.35,20
315,SBFC,INE423Y01016,89.95,20
316,GOKUL,INE020J01029,62.4,100
317,PRITI,INE974Z01015,217.95,100
318,SALZERELEC,INE457F01013,414.2,20
319,EROSMEDIA,INE416L01017,25.75,23.58
320,ARE&M,INE885A01032,889.05,20
321,NIITLTD,INE161A01038,124.3,21.13
322,ADANIENSOL,INE931S01010,1067.85,24.81
323,KAYNES,INE918Z01012,2831.3,20
324,RAMKY,INE874I01013,920.7,20
325,ADORWELD,INE045A01017,1602.6,20
326,DIL,INE411Y01011,9.5,22.67
327,HEXATRADEX,INE750M01017,154.75,20
328,STARCEMENT,INE460H01021,186.35,20
329,SPARC,INE232I01014,382.25,100
330,SGBJUL25,IN0020170034,6260,10
331,MUKTAARTS,INE374B01019,79.4,100
332,TI,INE133E01013,244.05,20
333,REPRO,INE461B01014,832.3,20
334,EXIDEIND,INE302A01020,334.95,20
335,THERMAX,INE152A01029,3181.25,20
336,INDOCO,INE873D01024,372.3,20
337,DMCC,INE505A01010,312.7,20
338,NEXT50IETF,INF109KC1NS5,57.24,6.1
339,PALREDTEC,INE218G01033,207.05,23.25
340,VAISHALI,INE972X01014,179.95,20.68
341,DECCANCE,INE583C01021,616.75,20
342,GOKEX,INE887G01027,927.85,20
343,GILLETTE,INE322A01010,6585.9,20
344,DHAMPURSUG,INE041A01016,264.2,20
345,MODISONLTD,INE737D01021,158.7,21.78
346,IVC,INE050B01023,12,100
347,MOTILALOFS,INE338I01027,1788.4,20
348,ZAGGLE,INE07K301024,234.5,20
349,SGBOCT27,IN0020190370,6225.83,10
350,UDS,INE851I01011,358.8,20
351,SHANTIGEAR,INE631A01022,546.65,20
352,RBL,INE244J01017,872.4,20
353,JSWSTEEL,INE019A01038,818.65,9.94
354,TDPOWERSYS,INE419M01027,302.4,20
355,BAJAJHLDNG,INE118A01012,8366.3,20
356,RAMANEWS,INE278B01020,18.95,21.25
357,TTML,INE517B01013,92.7,20.23
358,IDEAFORGE,INE349Y01013,712.25,20
359,M&MFIN,INE774D01024,289.2,20
360,JAYSREETEA,INE364A01020,120.25,20
361,EMAMIREAL,INE778K01012,117.85,100
362,GSLSU,INE0JSX01015,300.2,20
363,GANESHBE,INE388A01029,199.25,20
364,MOM30IETF,INF109KC17C7,29.41,20
365,ORICONENT,INE730A01022,39.5,21.69
366,MANGALAM,INE584F01014,108.35,20
367,ROHLTD,INE283H01019,356.6,20.32
368,KNRCON,INE634I01029,276.6,20
369,UTINIFTETF,INF789F1AZC0,233.18,6
370,MALLCOM,INE389C01015,1065.5,20
371,ITDC,INE353K01014,635.55,20
372,NAVKARCORP,INE278M01019,113.05,23.37
373,CTE,INE627H01017,81.45,24.04
374,IFCI,INE039A01010,61.05,27.71
375,HATHWAY,INE982F01036,23.95,20
376,SUTLEJTEX,INE645H01027,65.7,20
377,SHREYAS,INE757B01015,294.15,23.24
378,SMARTLINK,INE178C01020,183.85,20
379,INNOVACAP,INE0DUT01020,517.05,20
380,SASKEN,INE231F01020,1451,20
381,RAIN,INE855B01025,174.25,20
382,DISHTV,INE836F01026,19.85,25.34
383,IRFC,INE053F01010,175.15,22.12
384,ALLSEC,INE835G01018,786.7,20
385,STYLAMIND,INE239C01020,1641.25,20
386,WIPRO,INE075A01022,478.15,9.38
387,JTLIND,INE391J01024,269.9,20
388,TATATECH,INE142M01025,1111.4,20
389,ATUL,INE100A01010,6431.25,20
390,GMRINFRA,INE776C01039,78.35,20
391,MONTECARLO,INE950M01013,694.6,20
392,NIACL,INE470Y01017,243.25,20.19
393,DIVISLAB,INE361B01024,3670.6,10.45
394,RSWM,INE611A01016,226.85,20
395,KPIGREEN,INE542W01017,1821.1,22.47
396,MTNL,INE153A01019,49.85,25.25
397,MAKEINDIA,INF769K01IB1,114,20
398,ASTERDM,INE914M01019,442.65,20
399,INDIANHUME,INE323C01030,246.5,20
400,SENCO,INE602W01019,788.25,20
401,SHARDACROP,INE221J01015,397.35,20
402,CENTURYTEX,INE055A01016,1425.95,20
403,GULFPETRO,INE586G01017,73.05,20
404,SGBAPR28I,IN0020200062,6283.14,10
405,FAZE3Q,INE963C01033,459.55,20
406,SWSOLAR,INE00M201021,566.7,20
407,ABSLAMC,INE404A01024,477.7,20
408,RAMASTEEL,INE230R01035,45.1,20
409,CORALFINAC,INE558D01021,62,100
410,AARTIDRUGS,INE767A01016,526.65,20
411,LAXMICOT,INE801V01019,31.5,22.13
412,ELDEHSG,INE668G01021,801.25,20
413,BANKBEES,INF204KB15I9,468.76,20
414,IDFC,INE043D01016,119.45,20
415,SWELECTES,INE409B01013,765.25,25.12
416,BIRLAMONEY,INE865C01022,123.7,100
417,DIVOPPBEES,INF204KA1MS3,71.58,20
418,MURUDCERA,INE692B01014,53.75,100
419,ICEMAKE,INE520Y01019,580.3,20.5
420,SGBAUG29V,IN0020210129,6255.64,10
421,VINYLINDIA,INE250B01029,434.25,20
422,TCIEXP,INE586V01016,1376.7,20
423,HAPPYFORGE,INE330T01021,989.75,20
424,TRENT,INE849A01020,3086.95,20
425,EBBETF0430,INF754K01KO2,1331.24,20
426,ALANKIT,INE914E01040,18.7,100
427,MFSL,INE180A01020,890.3,20
428,GLS,INE03Q201024,872.55,20
429,DIVGIITTS,INE753U01022,929.8,20
430,USK,INE0N0Y01013,53,20
431,FINCABLES,INE235A01022,1100.2,20
432,PVRINOX,INE191H01014,1455,20
433,TATACHEM,INE092A01019,1028.05,20
434,UFO,INE527H01019,162.25,20
435,KAJARIACER,INE217B01036,1384,20
436,BHAGERIA,INE354C01027,166,20
437,SILVERBEES,INF204KC1402,70.59,20
438,APLLTD,INE901L01018,960.5,20
439,CAPLIPOINT,INE475E01026,1448.35,20
440,SGBNV29VII,IN0020210178,6239.49,10
441,ARVSMART,INE034S01021,535.4,20
442,CANTABIL,INE068L01024,253.35,20
443,POLYCAB,INE455K01017,4343.15,20
444,IMPAL,INE547E01014,1094.75,20
445,SANGINITA,INE753W01010,29.25,100
446,HDFCNIF100,INF179KC1HR4,22.33,6.97
447,BSOFT,INE836A01035,848.45,20
448,AJANTPHARM,INE031B01049,2174.25,20
449,PYRAMID,INE0MIS01010,185.35,20
450,ALKALI,INE773I01017,150.65,21.44
451,GEPIL,INE878A01011,247.25,20.64
452,MANALIPETC,INE201A01024,78.75,20
453,ACI,INE128X01021,633.5,20
454,MARALOVER,INE882A01013,92.05,24.02
455,HONAUT,INE671A01010,38687.5,20
456,SIEMENS,INE003A01024,4140.4,20
457,HAL,INE066F01020,2999.4,20
458,MAZDOCK,INE249Z01012,2290.95,20.31
459,ENERGYDEV,INE306C01019,31,100
460,SILVERTUC,INE625X01018,689.95,20
461,HINDCOPPER,INE531E01026,289.05,20
462,TRIDENT,INE064C01022,47.6,20
463,SGBJUN29II,IN0020210061,6225.71,10
464,DAMODARIND,INE497D01022,57.2,20.95
465,SARLAPOLY,INE453D01025,62.25,20.62
466,AUBANK,INE949L01017,636.6,20
467,TIDEWATER,INE484C01030,1613.55,20
468,AIRAN,INE645W01026,30.9,100
469,MOREPENLAB,INE083A01026,52.8,20
470,SDL24BEES,INF204KB18W4,118.69,20
471,SGBAUG24,IN0020160027,6255.72,10
472,KDDL,INE291D01011,2767.2,20
473,IIFLSEC,INE489L01022,169.75,20
474,SHYAMCENT,INE979R01011,26.2,100
475,SAH,INE035801013,112.7,20
476,CREST,INE559D01011,449.7,23.3
477,AAATECH,INE0D0U01013,95.1,100
478,UPL,INE628A01036,537.7,9.6
479,SGBJUL27,IN0020190081,6230,10
480,MARKSANS,INE750C01026,155.35,20
481,SAREGAMA,INE979A01025,348.45,20
482,SHIVAMAUTO,INE637H01024,41.9,20
483,LINC,INE802B01019,620.75,20
484,INDOBORAX,INE803D01021,203.85,20
485,AETHER,INE0BWX01014,883.8,20
486,DCAL,INE385W01011,194.45,20
487,SHOPERSTOP,INE498B01024,754.1,20
488,BANARISUG,INE459A01010,2414.35,20
489,DSPPVBKETF,INF740KA1TA7,23.69,20
490,HCC,INE549A01026,45.7,27.36
491,MAXIND,INE0CG601016,217.8,100
492,POLICYBZR,INE417T01026,1002.4,20
493,SILVRETF,INF769K01KG6,71.57,20
494,CENTURYPLY,INE348B01021,785.15,20
495,HDFCLIFE,INE795G01014,576.6,10.01
496,BAJAJELEC,INE193E01025,1047.85,20
497,CLSEL,INE419D01026,253,20
498,NELCO,INE045B01015,793.8,20
499,RSYSTEMS,INE411H01032,514.85,20
500,ATULAUTO,INE951D01028,568.7,20.56
501,NETF,INF277K015R5,228.82,7
502,ECLERX,INE738I01010,2727.15,20
503,HIKAL,INE475B01022,299.85,20
504,NAUKRI,INE663F01024,5031.65,20
505,APARINDS,INE372A01015,6321.3,20
506,TRITURBINE,INE152M01016,376.55,20
507,SOUTHBANK,INE683A01023,34.7,20
508,HOMEFIRST,INE481N01025,984.7,20
509,PUNJABCHEM,INE277B01014,1154.4,20
510,HARDWYN,INE626Z01029,44.35,20.85
511,KRITI,INE479D01038,128.35,20
512,SECURKLOUD,INE650K01021,59.15,100
513,ALOKINDS,INE270A01029,32.5,100
514,SHARIABEES,INF732E01128,499.2,20
515,LTFOODS,INE818H01020,197,20
516,NILKAMAL,INE310A01015,2162.25,20
517,HCL-INSYS,INE236A01020,25.5,100
518,EVERESTIND,INE295A01018,1283.95,20
519,SAKUMA,INE190H01024,25.5,23.85
520,DENORA,INE244A01016,1437.2,23.33
521,BODALCHEM,INE338D01028,86.3,20
522,PEL,INE140A01024,916.1,20
523,COMPUSOFT,INE453B01029,30.35,100
524,GMMPFAUDLR,INE541A01023,1552.1,20
525,AEROFLEX,INE024001021,153.9,20
526,DBOL,INE0I3401014,140,20
527,SIKKO,INE112X01017,83.8,100
528,HDFCBSE500,INF179KC1EZ4,31.29,8.81
529,SUMICHEM,INE258G01013,415.6,20
530,APLAPOLLO,INE702C01027,1503.35,20
531,GOODLUCK,INE127I01024,1061.5,20
532,PATINTLOG,INE529D01014,23.35,25.55
533,MAWANASUG,INE636A01039,97,20
534,LIBERTSHOE,INE557B01019,369.25,100
535,JAYNECOIND,INE854B01010,47.6,20.38
536,KTKBANK,INE614B01018,254.45,20
537,ORIENTCEM,INE876N01018,282.55,20
538,RAYMOND,INE301A01014,1775.35,20
539,POLYPLEX,INE633B01018,1011.7,20
540,MUNJALSHOW,INE577A01027,196.8,20
541,KOPRAN,INE082A01010,267.5,21.69
542,FEDFINA,INE007N01010,131.35,20
543,BOMDYEING,INE032A01023,185.7,21.05
544,SENSEXETF,INF769K01KT9,71.91,9.22
545,GIPCL,INE162A01010,224.55,20
546,SGBJUL28IV,IN0020200146,6244.48,10
547,STEELXIND,INE503B01021,17.35,25.5
548,TRIVENI,INE256C01024,342.25,20
549,VAKRANGEE,INE051B01021,30.15,23.36
550,IFBAGRO,INE076C01018,495.25,20
551,PSPPROJECT,INE488V01015,749.45,20
552,JASH,INE039O01011,1803.1,20
553,SGBOCT25,IN0020170059,6360,10
554,MASTEK,INE759A01021,2848.85,20
555,CARTRADE,INE290S01011,729.4,20
556,PERSISTENT,INE262H01013,8353.15,20
557,LODHA,INE670K01029,1070.1,20
558,RADICO,INE944F01028,1663.9,20
559,AVROIND,INE652Z01017,137.35,20
560,PANACEABIO,INE922B01023,164.5,20
561,HARRMALAYA,INE544A01019,187.05,20
562,RTNINDIA,INE834M01019,88.15,23.3
563,GALAXYSURF,INE600K01018,2757.75,20
564,VASCONEQ,INE893I01013,85.5,22.72
565,NURECA,INE0DSF01015,381.45,20.37
566,ACL,INE666E01020,124.15,20
567,SGBD29VIII,IN0020210228,6212.11,10
568,DSPSILVETF,INF740KA1RE3,70.9,20
569,BALAXI,INE618N01014,443.25,20
570,BAIDFIN,INE020D01022,27.75,20
571,CHEMFAB,INE783X01023,403.1,20
572,AKASH,INE737W01013,40,100
573,HBLPOWER,INE292B01021,537.25,22.45
574,APCL,INE071F01012,217.2,20
575,NATCOPHARM,INE987B01026,865.8,20
576,BANDHANBNK,INE545U01014,229,20
577,SGBAUG28V,IN0020200161,6341.27,10
578,HDFCNIFIT,INF179KC1DX1,373.49,20
579,MGL,INE002S01010,1479.25,20
580,MAHABANK,INE457A01014,55.25,20
581,GODREJIND,INE233A01035,899.9,20
582,SHRIRAMFIN,INE721A01013,2466.8,20
583,FEDERALBNK,INE171A01029,147.3,20
584,LLOYDSENGG,INE093R01011,47.8,25.6
585,DOLLAR,INE325C01035,463.75,20
586,WHEELS,INE715A01015,657.6,20
587,BFUTILITIE,INE243D01012,604.4,20
588,TRIL,INE763I01026,347.8,100
589,DIAMINESQ,INE591D01014,515,20
590,SGBMAY25,IN0020170018,6235,10
591,ONWARDTEC,INE229A01017,563.4,21.72
592,SGBMAR24,IN0020150119,6220,10
593,BOROLTD,INE02PY01013,351.8,20
594,HDFCSILVER,INF179KC1DI2,70.62,20
595,ALKYLAMINE,INE150B01039,2380.85,20
596,PETRONET,INE347G01014,269.1,20
597,LAXMIMACH,INE269B01029,13720.15,20
598,ESCORTS,INE042A01014,2983.25,20
599,ITETF,INF769K01KV5,36.97,20
600,ORBTEXP,INE231G01010,193.2,21.04
601,FCL,INE045J01026,340.7,20
602,BORORENEW,INE666D01022,630.6,20
603,SETFNIF50,INF200KA1FS1,226.99,6
604,SGBN28VIII,IN0020200286,6246.96,10
605,GREENPANEL,INE08ZM01014,399.55,20
