Index,symbol,company_Name,macro,sector,industry,basic_Industry, last_Price , total_Market_Cap , free_float
319,CENTUM,Centum Electronics Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products," 1,550.00 "," 199,770.73 "," 79,908.29 "
250,BHARATWIRE,Bharat Wire Ropes Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products, 364.45 ," 247,835.01 "," 94,177.30 "
453,DPSCLTD,DPSC Limited,Utilities,Power,Power,Integrated Power Utilities, 25.50 ," 248,316.36 "," 17,382.15 "
544,FOSECOIND,Foseco India Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals," 3,610.10 "," 230,557.56 "," 29,972.48 "
474,EIHAHOTELS,EIH Associated Hotels Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts, 610.00 ," 185,855.70 "," 46,463.92 "
66,AJMERA,Ajmera Realty & Infra India Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects, 562.80 ," 199,708.88 "," 45,933.04 "
111,APCOTEXIND,Apcotex Industries Limited,Industrials,Capital Goods,Industrial Products,Rubber, 488.50 ," 253,262.63 "," 103,837.68 "
552,GANDHAR,Gandhar Oil Refinery (India) Limited,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Lubricants, 250.50 ," 245,163.90 "," 53,936.06 "
201,BAJEL,Bajel Projects Limited,Utilities,Power,Power,Integrated Power Utilities, 179.95 ," 207,125.96 "," 74,565.35 "
652,GVKPIL,GVK Power & Infrastructure Limited,Industrials,Construction,Construction,Civil Construction, 12.75 ," 201,349.33 "," 92,620.69 "
802,IOLCP,IOL Chemicals and Pharmaceuticals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals, 436.65 ," 256,337.57 "," 99,971.65 "
133,ARTEMISMED,Artemis Medicare Services Limited,Healthcare,Healthcare,Healthcare Services,Hospital, 183.00 ," 248,624.72 "," 57,183.68 "
511,EVEREADY,Eveready Industries India Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products, 342.00 ," 248,590.43 "," 136,724.74 "
602,GOCLCORP,GOCL Corporation Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Explosives, 502.70 ," 249,200.91 "," 62,300.23 "
1549,SIGACHI,Sigachi Industries Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals, 78.40 ," 253,605.89 "," 129,339.00 "
448,DOLLAR,Dollar Industries Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels, 456.30 ," 258,795.66 "," 69,874.83 "
753,IKIO,IKIO Lighting Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics, 331.60 ," 256,262.80 "," 71,753.59 "
238,BEPL,Bhansali Engineering Polymers Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals, 108.60 ," 270,260.29 "," 102,698.91 "
285,BSHSL,Bombay Super Hybrid Seeds Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products, 256.00 ," 268,639.44 "," 69,846.25 "
77,ALEMBICLTD,Alembic Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects, 93.15 ," 239,192.27 "," 62,189.99 "
117,APOLLOPIPE,Apollo Pipes Limited,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial, 728.25 ," 286,407.66 "," 140,339.75 "
437,DIVGIITTS,Divgi Torqtransfer Systems Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments, 924.30 ," 282,677.99 "," 76,323.06 "
844,JINDALPOLY,Jindal Poly Films Limited,Industrials,Capital Goods,Industrial Products,Packaging, 635.70 ," 278,350.23 "," 69,587.56 "
423,DHANI,Dhani Services Limited,Financial Services,Financial Services,Finance,Other Financial Services, 38.00 ," 229,228.67 "," 142,121.77 "
1822,VENKEYS,Venky's (India) Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Meat Products including Poultry," 1,970.00 "," 277,520.52 "," 91,581.77 "
725,HUHTAMAKI,Huhtamaki India Limited,Industrials,Capital Goods,Industrial Products,Packaging, 336.00 ," 253,753.70 "," 81,201.18 "
307,CARYSIL,CARYSIL LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances, 868.95 ," 233,017.02 "," 125,829.19 "
357,CONFIPET,Confidence Petroleum India Limited,Energy,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier, 85.55 ," 243,725.04 "," 90,178.26 "
