Sr. No.,Company name,ISIN,BSE Symbol,BSE 6 month Avg Total Market Cap in (Rs. Crs.),NSE Symbol,NSE 6 month Avg Total Market Cap (Rs. Crs.),MSEI Symbol,MSEI 6 month Avg Total Market Cap in (Rs Crs.),Average of All Exchanges (Rs. Cr.),"Categorization as per SEBI Circular dated Oct 6, 2017"
2899,MEERA INDUSTRIES LIMITED,INE343X01018,MEERA,44.48,,,,,44.48,Small Cap
2900,DHAMPURE SPECIALITY SUGARS LTD.,INE956B01013,DHAMPURE,44.22,,,,,44.22,Small Cap
2901,WORTH INVESTMENT & TRADING CO LIMITED,INE114O01012,WORTH,44.11,,,,,44.11,Small Cap
2902,COMFORT FINCAP LIMITED,INE274M01026,COMFINCAP,44.08,,,,,44.08,Small Cap
2903,LEE & NEE SOFTWARES (EXPORTS) LTD.,INE791B01014,LEENEE,44.06,,,,,44.06,Small Cap
2904,B&A PACKAGING INDIA LIMITED,INE00FM01013,BAPACK,43.99,,,,,43.99,Small Cap
2905,COLORCHIPS NEW MEDIA LIMITED,INE621I01034,COLORCHIPS,43.89,,,,,43.89,Small Cap
2906,LESHA INDUSTRIES LIMITED,INE050L01048,LESHAIND,43.82,,,,,43.82,Small Cap
2907,"MADHAV MARBLES & GRANITES LTD.,",INE925C01016,MADHAV,43.76,MADHAV,43.7018,,,43.7309,Small Cap
2908,LAKSHMI FINANCE & INDUSTRIAL CORPORATION LTD.,INE850E01012,,,LFIC,43.7221,,,43.7221,Small Cap
2909,ASSAM ENTRADE LIMITED,INE165G01010,ASSAMENT,43.68,,,,,43.68,Small Cap
2910,GUJARAT CRAFT INDUSTRIES LTD.,INE372D01019,GUJCRAFT,43.6,,,,,43.6,Small Cap
2911,MATRA KAUSHAL ENTERPRISE LIMITED,INE265N01030,MKEL,43.57,,,,,43.57,Small Cap
2912,CHOKSI LABORATORIES LTD.,INE493D01013,CHOKSILA,43.48,,,,,43.48,Small Cap
2913,ECOBOARD INDUSTRIES LTD,INE866A01016,ECOBOAR,43.38,,,,,43.38,Small Cap
