"Index","symbol","company_Name","is_in_FNO","macro","sector","industry","basic_Industry","last_Price","vwap","total_Market_Cap","free_float","sector_member","date"
"1616","SREEL","Sreeleathers Limited","false","Consumer Discretionary","Consumer Durables","Consumer Durables","Footwear","324.5","327.45","75138.01","18784.5","NIFTY 500","16FEB2024"
"1617","SRF","SRF Limited","true","Commodities","Chemicals","Chemicals & Petrochemicals","Specialty Chemicals","2379","2380.66","7051946.59","3455453.83","NIFTY 500","16FEB2024"
"1618","SRGHFL","SRG Housing Finance Limited","false","Financial Services","Financial Services","Finance","Housing Finance Company","270","272.91","35100","11232","NA","16FEB2024"
"1619","SRHHYPOLTD","Sree Rayalaseema Hi-Strength Hypo Limited","false","Commodities","Chemicals","Chemicals & Petrochemicals","Commodity Chemicals","546","550.69","93719.92","29990.38","NIFTY 500","16FEB2024"
"1620","SRPL","Shree Ram Proteins Limited","false","Fast Moving Consumer Goods","Fast Moving Consumer Goods","Agricultural Food & other Products","Edible Oil","0","0","5569.2","0","","16FEB2024"
"1621","SSWL","Steel Strips Wheels Limited","false","Consumer Discretionary","Automobile and Auto Components","Auto Components","Auto Components & Equipments","256.3","256.86","402209.86","84464.07","NIFTY 500","16FEB2024"
"1622","STAR","Strides Pharma Science Limited","false","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Pharmaceuticals","814","814.84","748063.67","538605.84","NIFTY PHARMA","16FEB2024"
"1623","STARCEMENT","Star Cement Limited","false","Commodities","Construction Materials","Cement & Cement Products","Cement & Cement Products","212.5","213.45","876411.62","175282.32","NIFTY COMMODITIES","16FEB2024"
"1624","STARHEALTH","Star Health and Allied Insurance Company Limited","false","Financial Services","Financial Services","Insurance","General Insurance","553.55","550","3238860.2","744937.85","NA","16FEB2024"
"1625","STARPAPER","Star Paper Mills Limited","false","Commodities","Forest Materials","Paper Forest & Jute Products","Paper & Paper Products","252.05","252.61","39340.85","19670.42","NIFTY 500","16FEB2024"
"1626","STARTECK","Starteck Finance Limited","false","Financial Services","Financial Services","Finance","Non Banking Financial Company (NBFC)","293.1","297.7","29047.18","8133.21","","16FEB2024"
"1627","STCINDIA","The State Trading Corporation of India Limited","false","Services","Services","Commercial Services & Supplies","Trading & Distributors","168.25","171.69","100950","10095","NIFTY 500","16FEB2024"
"1628","STEELCAS","Steelcast Limited","false","Industrials","Capital Goods","Industrial Products","Castings & Forgings","638","647.17","129131.2","69730.85","","16FEB2024"
"1629","STEELCITY","Steel City Securities Limited","false","Financial Services","Financial Services","Capital Markets","Stockbroking & Allied","81.4","81.88","12297.18","3689.15","","16FEB2024"
"1630","STEELXIND","STEEL EXCHANGE INDIA LIMITED","false","Industrials","Capital Goods","Industrial Products","Iron & Steel Products","15.5","15.3","174903.82","75208.64","NIFTY METAL","16FEB2024"
"1631","STEL","Stel Holdings Limited","false","Financial Services","Financial Services","Finance","Investment Company","303.5","300.27","56012.15","19604.25","NIFTY FINANCIAL SERVICES","16FEB2024"
"1632","STERTOOLS","Sterling Tools Limited","false","Consumer Discretionary","Automobile and Auto Components","Auto Components","Auto Components & Equipments","363.85","359.56","131074.09","38011.49","NIFTY 500","16FEB2024"
"1633","STLTECH","Sterlite Technologies Limited","false","Telecommunication","Telecommunication","Telecom - Services","Other Telecom Services","135.9","136.39","542357.49","244060.87","","16FEB2024"
"1634","STOVEKRAFT","Stove Kraft Limited","false","Consumer Discretionary","Consumer Durables","Consumer Durables","Household Appliances","476.5","470.37","157491.63","69296.32","","16FEB2024"
"1635","STYLAMIND","Stylam Industries Limited","false","Consumer Discretionary","Consumer Durables","Consumer Durables","Plywood Boards/ Laminates","1615","1618.39","273711.17","112221.58","","16FEB2024"
"1636","STYRENIX","Styrenix Performance Materials Limited","false","Commodities","Chemicals","Chemicals & Petrochemicals","Specialty Chemicals","1480.85","1486.1","260416.73","96354.19","","16FEB2024"
"1637","SUBEXLTD","Subex Limited","false","Information Technology","Information Technology","IT - Software","Software Products","40","39.8","224801.17","220305.15","","16FEB2024"
"1638","SUBROS","Subros Limited","false","Consumer Discretionary","Automobile and Auto Components","Auto Components","Auto Components & Equipments","620","618.27","404461.65","117293.88","NIFTY 500","16FEB2024"
"1639","SUDARSCHEM","Sudarshan Chemical Industries Limited","false","Commodities","Chemicals","Chemicals & Petrochemicals","Dyes And Pigments","561.5","579.29","388711.01","248775.05","NIFTY 500","16FEB2024"
"1640","SUKHJITS","Sukhjit Starch & Chemicals Limited","false","Fast Moving Consumer Goods","Fast Moving Consumer Goods","Agricultural Food & other Products","Other Agricultural Products","485.25","489.21","75805.76","24257.84","","16FEB2024"
"1641","SULA","Sula Vineyards Limited","false","Fast Moving Consumer Goods","Fast Moving Consumer Goods","Beverages","Breweries & Distilleries","610","626.18","514837.74","303754.26","","16FEB2024"
"1642","SUMEETINDS","Sumeet Industries Limited","false","Consumer Discretionary","Textiles","Textiles & Apparels","Other Textile Products","4","4.08","4145.7","3192.19","NIFTY 500","16FEB2024"
"1643","SUMICHEM","Sumitomo Chemical India Limited","false","Commodities","Chemicals","Fertilizers & Agrochemicals","Pesticides & Agrochemicals","379.3","378.02","1893259.78","473314.94","","16FEB2024"
"1644","SUMIT","Sumit Woods Limited","false","Consumer Discretionary","Realty","Realty","Residential Commercial Projects","0","0","17832.25","0","","16FEB2024"
"1645","SUMMITSEC","Summit Securities Limited","false","Financial Services","Financial Services","Finance","Non Banking Financial Company (NBFC)","1312","1301.65","143031.37","35757.84","NIFTY FINANCIAL SERVICES","16FEB2024"
"1646","SUNCLAY","Sundaram Clayton Limited","false","Industrials","Capital Goods","Industrial Products","Castings & Forgings","1495.05","1500.45","302480.07","75620.02","NA","16FEB2024"
"1647","SUNDARAM","Sundaram Multi Pap Limited","false","Fast Moving Consumer Goods","Fast Moving Consumer Goods","Household Products","Stationary","3.1","3.16","14690.21","10136.25","NIFTY 500","16FEB2024"
"1648","SUNDARMFIN","Sundaram Finance Limited","false","Financial Services","Financial Services","Finance","Non Banking Financial Company (NBFC)","3870","3880.69","4299719.38","2622828.82","NIFTY FINANCIAL SERVICES","16FEB2024"
"1649","SUNDARMHLD","Sundaram Finance Holdings Limited","false","Financial Services","Financial Services","Finance","Investment Company","182.5","181.35","405339.54","170242.61","NIFTY FINANCIAL SERVICES","16FEB2024"
"1650","SUNDRMBRAK","Sundaram Brake Linings Limited","false","Consumer Discretionary","Automobile and Auto Components","Auto Components","Auto Components & Equipments","678","675.02","26676.42","8803.22","NIFTY 500","16FEB2024"
"1651","SUNDRMFAST","Sundram Fasteners Limited","false","Consumer Discretionary","Automobile and Auto Components","Auto Components","Auto Components & Equipments","1100","1092.43","2311412.07","1178820.16","NIFTY AUTO","16FEB2024"
"1652","SUNFLAG","Sunflag Iron And Steel Company Limited","false","Commodities","Metals & Mining","Ferrous Metals","Iron & Steel","210.8","212.41","379902.6","140563.96","NIFTY METAL","16FEB2024"
"1653","SUNPHARMA","Sun Pharmaceutical Industries Limited","true","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Pharmaceuticals","1507.55","1511.94","36171174.34","16277028.45","NIFTY PHARMA","16FEB2024"
"1654","SUNTECK","Sunteck Realty Limited","false","Consumer Discretionary","Realty","Realty","Residential Commercial Projects","462","460.91","676767.26","223333.19","NIFTY REALTY","16FEB2024"
